,Palavra PT,Significado PT,Audio PT,Palavra Original,Significado Original,Audio Original,Lingua
,máfia,qualquer associação ou organização que usa métodos inescrupulosos para controlar uma atividade,mafia1.mp3,mafia,organização criminosa de origem siciliana,mafia0.mp3,italiano
,mascate,mercador ambulante,mascati1.mp3,Masqat,"cidade do mundo árabe, hoje capital de Omã, célebre por seus mercadores",mascati0.mp3,árabe
,nissei,filho de pais japoneses nascido na América,nissei1.mp3,nisei,"filho de pais japoneses nascido na América; literalmente, segunda geração",nissei0.mp3,japonês
,ópera,obra dramática musicada,opera1.mp3,opera,obra dramática musicada,opera0.mp3,italiano
,palhaço,"ator cômico, especialmente de circo",palhaco1.mp3,pagliaccio,"ator cômico, especialmente de circo",palhaco0.mp3,italiano
,panetone,"bolo de massa fermentada, com frutas cristalizadas e passas",panetone1.mp3,panettone,"bolo de massa fermentada, com frutas cristalizadas e passas",panetone0.mp3,italiano
,pizza,"iguaria feita de massa de pão aplainada, coberta com queijo, tomate e outros ingredientes, preparada em forno",pizza1.mp3,pizza,"iguaria feita de massa de pão aplainada, coberta com queijo, tomate e outros ingredientes, preparada em forno",pizza0.mp3,italiano
,polenta,pasta de fubá de milho cozida ou frita,polenta1.mp3,polenta,pasta de fubá de milho cozida ou frita,polenta0.mp3,italiano
,quibe,"iguaria árabe que se faz com carne e trigo, condimentados com pimenta, hortelã e cebola, entre outros",kibe1.mp3,quibbat,"iguaria árabe que se faz com carne e trigo, condimentados com pimenta, hortelã e cebola, entre outros",kibe0.mp3,árabe
,quinoa,"cereal rico em proteínas, fibras, e vitaminas, consumido há cerca de cinco mil anos no Peru e Bolívia",quinoa1.mp3,quinoa,"cereal rico em proteínas, fibras e vitaminas, consumido há cerca de 5 mil anos no Peru e na Bolívia",quinoa0.mp3,espanhol
,regata,competição de barcos a vela ou a remo,regata1.mp3,regata,competição de barcos a vela ou a remo,regata0.mp3,italiano
,saltenha ,"massa ou pão recheado de carne, frango, ovos e temperos, tradicionalmente utilizado por pastores de rebanhos e viajantes",saltenhas1.mp3,salteña,"massa ou pão recheado de carne, frango, ovos e temperos, tradicionalmente utilizado por pastores de rebanhos e viajantes. O mesmo que empanada",saltenhas0.mp3,espanhol
,samurai,membro da classe dos guerreiros na organização feudal do Japão,samurai1.mp3,samurai,membro da classe dos guerreiros na organização feudal do Japão,samurai0.mp3,japonês
,saquê,"bebida típica japonesa, obtida de arroz fermentado",sake1.mp3,sake,licor feito de arroz,sake0.mp3,japonês
,serenata,"apresentação musical que se faz ou se manda fazer à noite, próximo a casa da amada",serenata1.mp3,serenata,"seresta; apresentação musical que se faz ou se manda fazer à noite, próximo a casa da amada",serenata0.mp3,italiano
,strudel,"pastelão comprido e enrolado, feito de massa folhada, recheado e assado",strudel1.mp3,strudel,"pastelão comprido e enrolado, feito de massa folhada, recheado e assado",strudel0.mp3,alemão
,sushi,bolinho de arroz envolvido em folha de alga e ornado com fatias de peixe cru,sushi1.mp3,sushi,bolinho de arroz envolvido em folha de alga e ornado com fatias de peixe cru,sushi0.mp3,japonês
,tai chi chuan,sistema chinês de exercícios de relaxamento e meditação,taishishuan1.mp3,taijiquan,sistema chinês de exercícios de relaxamento e meditação,taishishuan0.mp3,chinês
,taekwondo,"técnica milenar coreana de combate sem armas para defesa pessoal, influenciada por artes marciais chinesas e japonesas",taekwondo1.mp3,taekwondo,"técnica milenar coreana de combate sem armas para defesa pessoal, influenciada por artes marciais chinesas e japonesas",taekwondo0.mp3,coreano
,tchau,até logo; até a vista,tchau1.mp3,ciao,forma de cumprimento entre os italianos,tchau0.mp3,italiano
,xote,"dança de salão semelhante ao forró, executada ao som de sanfonas, especialmente no Nordeste",xote1.mp3,Schottisch,polca escocesa parecida com a dança de roda,xote0.mp3,alemão
